Categoria: Totes les categories

Setmana,deep reinforcement learning  planning: (Arreu del món),deep reinforcement learning: (Arreu del món),planning algorithms: (Arreu del món)
2016-04-17,0,19,8
2016-04-24,0,10,9
2016-05-01,0,19,7
2016-05-08,0,21,9
2016-05-15,0,13,8
2016-05-22,0,19,4
2016-05-29,0,16,7
2016-06-05,0,13,4
2016-06-12,0,7,8
2016-06-19,0,24,7
2016-06-26,4,22,10
2016-07-03,0,13,2
2016-07-10,0,19,6
2016-07-17,0,15,5
2016-07-24,0,16,5
2016-07-31,0,16,5
2016-08-07,0,15,4
2016-08-14,0,8,3
2016-08-21,0,12,4
2016-08-28,0,18,4
2016-09-04,0,11,5
2016-09-11,0,14,10
2016-09-18,0,17,6
2016-09-25,0,15,7
2016-10-02,0,17,4
2016-10-09,0,13,8
2016-10-16,2,21,4
2016-10-23,0,30,3
2016-10-30,0,22,4
2016-11-06,0,26,7
2016-11-13,0,30,5
2016-11-20,0,26,10
2016-11-27,0,20,11
2016-12-04,0,36,6
2016-12-11,0,31,4
2016-12-18,0,19,3
2016-12-25,0,22,6
2017-01-01,0,29,6
2017-01-08,2,35,5
2017-01-15,0,31,5
2017-01-22,2,31,6
2017-01-29,0,37,5
2017-02-05,2,34,10
2017-02-12,0,33,8
2017-02-19,0,33,8
2017-02-26,0,45,7
2017-03-05,2,30,9
2017-03-12,2,37,11
2017-03-19,0,30,8
2017-03-26,2,35,7
2017-04-02,0,50,11
2017-04-09,2,59,11
2017-04-16,0,34,7
2017-04-23,0,34,10
2017-04-30,0,29,6
2017-05-07,0,44,6
2017-05-14,0,37,7
2017-05-21,0,34,6
2017-05-28,2,39,5
2017-06-04,0,34,7
2017-06-11,0,28,7
2017-06-18,0,28,5
2017-06-25,0,34,8
2017-07-02,0,24,8
2017-07-09,0,41,5
2017-07-16,0,35,6
2017-07-23,2,41,4
2017-07-30,0,40,5
2017-08-06,2,41,6
2017-08-13,0,47,7
2017-08-20,0,45,3
2017-08-27,2,41,8
2017-09-03,2,44,6
2017-09-10,0,35,6
2017-09-17,0,35,10
2017-09-24,0,44,3
2017-10-01,2,47,5
2017-10-08,2,44,5
2017-10-15,0,48,9
2017-10-22,2,57,6
2017-10-29,0,41,4
2017-11-05,0,58,7
2017-11-12,2,47,6
2017-11-19,2,32,9
2017-11-26,0,60,7
2017-12-03,2,65,10
2017-12-10,0,60,9
2017-12-17,2,46,10
2017-12-24,0,40,4
2017-12-31,2,40,2
2018-01-07,0,42,4
2018-01-14,2,59,7
2018-01-21,0,47,9
2018-01-28,2,51,8
2018-02-04,2,46,5
2018-02-11,0,43,9
2018-02-18,0,51,8
2018-02-25,2,44,3
2018-03-04,0,55,11
2018-03-11,0,48,7
2018-03-18,0,56,3
2018-03-25,3,50,10
2018-04-01,2,47,8
2018-04-08,0,47,7
2018-04-15,0,52,11
2018-04-22,2,64,3
2018-04-29,3,54,11
2018-05-06,2,61,8
2018-05-13,2,60,5
2018-05-20,0,56,6
2018-05-27,2,41,7
2018-06-03,3,64,9
2018-06-10,0,47,7
2018-06-17,0,55,3
2018-06-24,3,58,5
2018-07-01,3,45,10
2018-07-08,3,58,5
2018-07-15,0,52,4
2018-07-22,0,45,7
2018-07-29,2,54,9
2018-08-05,2,52,4
2018-08-12,2,49,3
2018-08-19,0,48,3
2018-08-26,0,67,3
2018-09-02,3,52,3
2018-09-09,0,47,3
2018-09-16,3,63,7
2018-09-23,2,63,8
2018-09-30,0,100,13
